"店舗名","電話番号","メールアドレス","都道府県","市区町村","番地","建物名","URL","SSL"
"じとっこ組合 広島中央通り店","050-5488-7561","","広島県","広島市中区新天地","5-3","かずもとやビル2F","",""
"串焼き 木村","050-5487-8112","","愛知県","一宮市栄","1-11-11","UKビル1F","",""
"倉敷個室居酒屋 伸","050-5488-9712","","岡山県","倉敷市阿知","2-17-2","","",""
"スンガリー 新宿三丁目店","050-5485-9727","","東京都","新宿区新宿","3-21-6","新宿龍生堂ビルB1","",""
"ビストロ酒場 glyph‐グリフ‐ （cafe glyph）","053-545-4111","","静岡県","浜松市浜名区小松","98-7","","",""
"豚肉料理と韓国料理 居酒屋 とんからり 静岡駅前","050-5486-7703","","静岡県","静岡市駿河区南町","2-1","","",""
"炭火焼き鳥 炭のあかり松本","050-5487-6702","","大阪府","大阪市住吉区東粉浜","1-8-19","","",""
"Kee’s ‐ Diner","050-5489-4064","","千葉県","木更津市東太田","2-16-7","サンライズビル1F","",""
"焼肉料理 天ざん PLUS 国体道路店","050-5486-1093","","和歌山県","和歌山市新生町","10-6","","",""
"丸明　茶屋ヶ坂店","050-5488-9805","","愛知県","名古屋市千種区茶屋が坂","2-8-3","","",""
"創作和食と完全個室 和蔵 名古屋栄店","050-5487-7666","","愛知県","名古屋市中区栄","4-5-8","エアリビル9F","",""
"歌舞伎町 牡蠣basara","050-5494-3123","","東京都","新宿区歌舞伎町","1-2-13","新光ビル2F","",""
"にぎり長次郎 竹田店","050-5489-5285","","京都府","京都市伏見区竹田七瀬川町","20-5","","",""
"九州個室酒場 ザ・ゴエモン","050-5486-6304","","岡山県","倉敷市阿知","2-8-8","","",""
"アウトバックステーキハウス 海老名店","050-5485-8160","","神奈川県","海老名市中央","1-18-1","VinaWalk6番館1F","",""
"活き活き家 八千代店","050-5484-8366","","千葉県","八千代市米本字平成","4904","","",""
"魚居酒屋 すなおや 東三国店","050-5485-2710","","大阪府","大阪市淀川区東三国","1-25-9","","",""
"エルトリート 西葛西店","050-5485-6816","","東京都","江戸川区西葛西","6-10-15","中川ビル1F","",""
"しゃぶしゃぶ・日本料理 木曽路 八事店","050-5485-3654","","愛知県","名古屋市昭和区広路町字隼人","3-1","","",""
"食堂カフェpotto×タニタカフェ フレンドタウン交野店","050-5488-3350","","大阪府","交野市星田北","2-26-1","","",""
"ラ・オハナ 横浜本牧店","0570-019-977","","神奈川県","横浜市中区本牧原","18-22","","",""
"ラ・コシーナ・デ・セレーソ","050-5484-7937","","広島県","広島市中区三川町","2-2","","",""
"モチモチ肉汁餃子 居酒屋うりずん 大曽根店","050-5484-5990","","愛知県","名古屋市北区山田","1-4-52","ジェイグロース4F","",""
"茨城の旬 海鮮 地酒 むらさき","029-828-5015","","茨城県","つくば市吾妻","1-8-10","BiViつくば3F","",""
"和創作 仁～JIN～","050-5487-0670","","茨城県","土浦市桜町","3-3-17","","",""
"全席個室居酒屋×牛タンしゃぶしゃぶ 左衛門 新横浜店","050-5484-7570","","神奈川県","横浜市港北区新横浜","2-5-13","プランドール新横浜5F","",""
"マルサ水産 津島店","050-5489-0944","","愛知県","津島市莪原町椋木","25-1","","",""
"三代目鳥メロ 栄広小路店","050-5492-3997","","愛知県","名古屋市中区栄","4-5-8","エアリビル3F","",""
"うまいものあり おおみ矢 仙台 稲荷小路店","050-5486-5733","","宮城県","仙台市青葉区一番町","4-3-12","第5吉岡屋ビル1F","",""
"旬醸 まほろば","050-5488-9312","","愛知県","名古屋市中区栄","3-10-13","Wビル1F","",""
"じとっこ組合 広島中央通り店","050-5488-7561","","広島県","広島市中区新天地","5-3","かずもとやビル2F","",""
"串焼き 木村","050-5487-8112","","愛知県","一宮市栄","1-11-11","UKビル1F","",""
"倉敷個室居酒屋 伸","050-5488-9712","","岡山県","倉敷市阿知","2-17-2","","",""
"スンガリー 新宿三丁目店","050-5485-9727","","東京都","新宿区新宿","3-21-6","新宿龍生堂ビルB1","",""
"ビストロ酒場 glyph‐グリフ‐ （cafe glyph）","053-545-4111","","静岡県","浜松市浜名区小松","98-7","","",""
"豚肉料理と韓国料理 居酒屋 とんからり 静岡駅前","050-5486-7703","","静岡県","静岡市駿河区南町","2-1","","",""
"炭火焼き鳥 炭のあかり松本","050-5487-6702","","大阪府","大阪市住吉区東粉浜","1-8-19","","",""
"Kee’s ‐ Diner","050-5489-4064","","千葉県","木更津市東太田","2-16-7","サンライズビル1F","",""
"焼肉料理 天ざん PLUS 国体道路店","050-5486-1093","","和歌山県","和歌山市新生町","10-6","","",""
"丸明　茶屋ヶ坂店","050-5488-9805","","愛知県","名古屋市千種区茶屋が坂","2-8-3","","",""
"創作和食と完全個室 和蔵 名古屋栄店","050-5487-7666","","愛知県","名古屋市中区栄","4-5-8","エアリビル9F","",""
"歌舞伎町 牡蠣basara","050-5494-3123","","東京都","新宿区歌舞伎町","1-2-13","新光ビル2F","",""
"にぎり長次郎 竹田店","050-5489-5285","","京都府","京都市伏見区竹田七瀬川町","20-5","","",""
"九州個室酒場 ザ・ゴエモン","050-5486-6304","","岡山県","倉敷市阿知","2-8-8","","",""
"アウトバックステーキハウス 海老名店","050-5485-8160","","神奈川県","海老名市中央","1-18-1","VinaWalk6番館1F","",""
"活き活き家 八千代店","050-5484-8366","","千葉県","八千代市米本字平成","4904","","",""
"魚居酒屋 すなおや 東三国店","050-5485-2710","","大阪府","大阪市淀川区東三国","1-25-9","","",""
"エルトリート 西葛西店","050-5485-6816","","東京都","江戸川区西葛西","6-10-15","中川ビル1F","",""
"しゃぶしゃぶ・日本料理 木曽路 八事店","050-5485-3654","","愛知県","名古屋市昭和区広路町字隼人","3-1","","",""
"食堂カフェpotto×タニタカフェ フレンドタウン交野店","050-5488-3350","","大阪府","交野市星田北","2-26-1","","",""
