"店舗名","電話番号","メールアドレス","都道府県","市区町村","番地","建物名","URL","SSL"
"YAKINIKUEN 忍鬨 富田林店","050-5484-9274","","大阪府","富田林市昭和町","1-2-34","","",""
"多仁本","050-5489-5964","","和歌山県","御坊市湯川町財部","641-16","","",""
"ミユキジンギスカン","0553-31-9800","","山梨県","山梨市上神内川","1692","","",""
"六丁目農園 自然派ビュッフェレストラン","022-287-7350","","宮城県","仙台市若林区六丁目字南","97-3","東インター斎喜ビル1F","",""
"よこまち 津","050-5488-4392","","埼玉県","秩父郡長瀞町野上下郷","2108-1","","",""
"焼肉そうちゃん南平岸店","050-5494-5917","","北海道","札幌市豊平区平岸3条","14-3-12","第2協同ビル1F","",""
"ステーキハウス ビックリ大将","050-5492-7060","","沖縄県","宮古島市平良字西里","1304-8","","",""
"Atout 北新地 ‐Limited‐","050-5494-6678","","大阪府","大阪市北区曽根崎新地","1-2-29","","",""
"沖縄料理 空","050-5492-9913","","兵庫県","神戸市中央区下山手通","2-12-21","生田ソシアルビル2F","",""
"あん梅","050-5493-2686","","佐賀県","武雄市武雄町富岡","7751-31","","",""
"はや 魚太郎 泉北の郷","050-5486-2504","","大阪府","堺市南区原山台","5-21-2","","",""
"東迎おばぁの沖縄料理とお酒 白蕗","050-5485-8962","","沖縄県","那覇市松山","2-10-1","39ビルB1","",""
"竹亭 大和別邸 御仮屋 新館","050-5486-9255","","宮城県","黒川郡大和町小野字釜ケ入","63","","",""
"ダイニングバー 伝","050-5484-5089","","山形県","南陽市赤湯","416","","",""
"ヤキトリダイニング 精一杯 九号店","050-5493-3201","","愛知県","豊田市御幸本町","1-210","","",""
"夢一喜 箕面船場店","050-5487-5224","","大阪府","箕面市稲","6-7-20","","",""
"ブッフェ ザ フォレスト ららぽーと TOKYO－BAY","050-5485-4828","","千葉県","船橋市浜町","2-1-1","ららぽーとTOKYO-BAY南館 3F","",""
"魚沼DINIING 楽","050-5484-3352","","新潟県","魚沼市小出島","124-60","","",""
"鰻人","050-5494-7376","","大阪府","岸和田市五軒屋町","1-11","","",""
"お勝","050-5492-4644","","三重県","桑名市参宮通","26","","",""
"自然まるごと阿蘇展望バイキング 大阿蘇レストラン","0967-67-2100","","熊本県","阿蘇郡南阿蘇村河陽","5580-8","","",""
"寿司Dining魚道","050-5494-3235","","愛知県","名古屋市昭和区広路町字石坂","30-15","","",""
"酒肴麹 sora","050-5492-7910","","東京都","八王子市中町","9-5","1F","",""
"黒船 西尾張部店","050-5492-2827","","長野県","長野市西尾張部","1004-2","","",""
"韓の舌 津店","059-235-1122","","三重県","津市高茶屋小森町","4180","","",""
"憩酒屋Dining 壱歩","050-5485-2471","","福岡県","柳川市東蒲池","636-7","","",""
"全室完全個室 牛蔵 別邸","050-5488-8181","","宮崎県","宮崎市中央通","7-26","第1吉野ビル1F","",""
"オップラ！ダ ジターリア","050-5487-5750","","東京都","練馬区関町北","2-28-7","1F","",""
"茨城の旬 海鮮 地酒 むらさき","029-828-5015","","茨城県","つくば市吾妻","1-8-10","BiViつくば3F","",""
"酔心 京都駅前店（B1・B2）","050-5488-1697","","京都府","京都市下京区烏丸通り七条下ル東塩小路町","719","SKビルB1・B2（京都タワービル東向い）","",""
"YAKINIKUEN 忍鬨 富田林店","050-5484-9274","","大阪府","富田林市昭和町","1-2-34","","",""
"多仁本","050-5489-5964","","和歌山県","御坊市湯川町財部","641-16","","",""
"ミユキジンギスカン","0553-31-9800","","山梨県","山梨市上神内川","1692","","",""
"六丁目農園 自然派ビュッフェレストラン","022-287-7350","","宮城県","仙台市若林区六丁目字南","97-3","東インター斎喜ビル1F","",""
"よこまち 津","050-5488-4392","","埼玉県","秩父郡長瀞町野上下郷","2108-1","","",""
"焼肉そうちゃん南平岸店","050-5494-5917","","北海道","札幌市豊平区平岸3条","14-3-12","第2協同ビル1F","",""
"ステーキハウス ビックリ大将","050-5492-7060","","沖縄県","宮古島市平良字西里","1304-8","","",""
"Atout 北新地 ‐Limited‐","050-5494-6678","","大阪府","大阪市北区曽根崎新地","1-2-29","","",""
"沖縄料理 空","050-5492-9913","","兵庫県","神戸市中央区下山手通","2-12-21","生田ソシアルビル2F","",""
"あん梅","050-5493-2686","","佐賀県","武雄市武雄町富岡","7751-31","","",""
"はや 魚太郎 泉北の郷","050-5486-2504","","大阪府","堺市南区原山台","5-21-2","","",""
"東迎おばぁの沖縄料理とお酒 白蕗","050-5485-8962","","沖縄県","那覇市松山","2-10-1","39ビルB1","",""
"竹亭 大和別邸 御仮屋 新館","050-5486-9255","","宮城県","黒川郡大和町小野字釜ケ入","63","","",""
"ダイニングバー 伝","050-5484-5089","","山形県","南陽市赤湯","416","","",""
"ヤキトリダイニング 精一杯 九号店","050-5493-3201","","愛知県","豊田市御幸本町","1-210","","",""
"夢一喜 箕面船場店","050-5487-5224","","大阪府","箕面市稲","6-7-20","","",""
"ブッフェ ザ フォレスト ららぽーと TOKYO－BAY","050-5485-4828","","千葉県","船橋市浜町","2-1-1","ららぽーとTOKYO-BAY南館 3F","",""
"魚沼DINIING 楽","050-5484-3352","","新潟県","魚沼市小出島","124-60","","",""
"鰻人","050-5494-7376","","大阪府","岸和田市五軒屋町","1-11","","",""
"お勝","050-5492-4644","","三重県","桑名市参宮通","26","","",""
